budtenderId,totalSpent,storeId,timestamp,firstName,lastName
4e4509e9-20eb-4bec-9d35-94bf4294d415,$54.35,8f6d13ea-efc2-4c0a-898c-e312db2aad33,2023-08-10T16:58:42.794Z,protective,anaconda
a52d614a-0764-46e1-9d7d-96341491bbd9,$9.53,dc57797d-d9e2-4b09-a0ea-4ac3b8958bed,2023-08-10T16:58:42.794Z,awful,wildfowl
59e74636-41e1-4db8-aa4a-67f82b5e895e,$51.37,f8a54fd6-2dcf-4c64-b615-9a37545190db,2023-08-10T16:58:42.794Z,leading,meadowlark
bc09d8ed-5d4d-41c4-8412-feefd30064d6,$82.12,f75ef72f-5ea0-4b7e-8668-96594ebeb501,2023-08-10T16:58:42.794Z,future,hedgehog
379ee4d7-7c51-4190-af4b-ece454be0844,$81.59,8c976e5c-a087-4c1d-957d-bf0ad036cfc5,2023-08-10T16:58:42.794Z,unique,duck
58afd7ee-21c7-4e05-8877-11a5eebc4fde,$70.87,2d919770-d4d2-40bc-9151-1a82520bf19f,2023-08-10T16:58:42.794Z,young,gecko
c20c23cf-a4ea-4007-8cab-7b8fa0ded491,$91.75,06594316-48ab-41c9-9ef8-3c2fa4d08728,2023-08-10T16:58:42.794Z,painful,grasshopper
b9776f2e-98c5-4354-9d84-cfe29a467d99,$60.37,dff740fa-3851-4fce-9bfc-cca0c382ff54,2023-08-10T16:58:42.794Z,supposed,felidae
79cfb46b-12bf-44e9-9c5d-877ee81f308e,$33.70,99692bc8-c6ec-4b02-b0f2-9ec21cc5a053,2023-08-10T16:58:42.794Z,sweet,warbler
987c8cfe-cc56-4625-a4c2-d5e4dd350471,$7.70,4a53d395-f6ef-4889-89b7-70134133f03e,2023-08-10T16:58:42.794Z,kind,mite
5642cce4-8453-4c70-abbc-7211d50bcacf,$47.89,54c6f63c-ed5c-4fc4-a87d-39f4195581bb,2023-08-10T16:58:42.794Z,latin,bear
0d47429c-55cb-417c-a0df-2c508e333904,$79.89,da309146-f90d-443b-8ea8-d37aef1e6433,2023-08-10T16:58:42.794Z,slim,gamefowl
ecc5d55b-db4d-40c8-8c0f-39d116d8f4a1,$14.22,fb02b246-a541-45dd-a263-3f39acdf798e,2023-08-10T16:58:42.794Z,rising,gazelle
061ff4f8-83ef-411f-8038-edee7e528730,$4.32,06023769-1f17-432a-899b-1e6ba7c45ebf,2023-08-10T16:58:42.794Z,frantic,macaw
190272e3-cc53-411a-bcff-af6fe840a544,$17.98,654bac24-fee5-47b4-964a-8ca689f68f32,2023-08-10T16:58:42.794Z,real,mole
